batch_id,time_hr,vcd_e6_per_ml,glucose_g_per_L,lactate_g_per_L,ph,do_pct,temperature_C,agitation_rpm,airflow_slpm,feed_rate_ml_per_hr
B001,0.0,0.6288763455242854,6.5648167938789594,0.05,7.107514785510376,95.71557472069657,36.67391160456649,145.85502494538963,0.5155453782799002,3.52750417680475
B001,2.4489795918367347,0.4764615510253894,6.325024360243267,0.13140485547856612,7.103046507509399,95.14197721600178,36.891786194705475,148.42358459493352,0.6227474026842124,4.400624977046228
B001,4.8979591836734695,0.7581712086031337,6.16869723259187,0.21266732385752712,7.0649053808016244,95.20691881288117,37.01221561970126,156.18544761745306,0.6408421648335705,5.230611425780379
B001,7.346938775510204,1.0760586098542055,6.328457706747765,0.24018043634314423,7.084926794588299,94.16882859386573,36.90324652605511,156.72532071492242,0.6389418490120327,5.526658240827794
B001,9.795918367346939,0.615313268610471,6.314363169805312,0.3777489798538072,7.079404419096919,88.32629391714704,36.648063003404594,154.79345121385273,0.6949675569518043,4.661015902588821
B001,12.244897959183675,0.6948826083532228,6.196460105455893,0.5077520244569641,7.041834763581657,88.22639073649628,36.75157659271337,156.70908589613575,0.694771490951783,5.797586778209766
B001,14.693877551020408,1.3339143566422118,5.744401393314656,0.7294349166516654,7.111891602681282,90.15251951400916,36.92669111491866,163.73526325445232,0.7929518942207886,4.618341815110864
B001,17.142857142857142,1.203451367948114,5.752443239115471,0.6317434955688981,7.062786416198781,89.17042904468155,36.72923305343812,155.61357162724943,0.8284242109111359,5.439212368516887
B001,19.591836734693878,0.9663215605906925,5.782579216892957,0.7135101411130926,7.005485384879838,88.19336067873455,36.84438194281462,162.53140527319712,0.907972662710782,5.5121836393641415
B001,22.040816326530614,1.4277666248818632,5.813476372363247,0.7537798982193017,7.053574159279423,93.8891364506972,36.87746340534293,160.00944490109583,0.899454779352996,6.275482893143929
B001,24.48979591836735,1.3108110380273286,5.424573315696248,0.6428167560211162,6.997290162138078,86.3458626540394,36.70730695284219,161.15649194304757,1.0157632440794055,6.379094467690441
B001,26.93877551020408,1.5250115608154506,5.385317184259073,0.9055118777612007,7.042796211581662,86.49562107627958,36.79404746439382,168.963272015038,1.1154124558542104,4.71419791599418
B001,29.387755102040817,1.9850577649622452,5.103222801117162,0.9876556740553272,7.046594602064099,85.15290148617008,36.47587326599309,168.82095929596056,1.0823170946179734,4.672762800413862
B001,31.836734693877553,1.6213248028386975,4.987289287428764,1.3014262520648552,6.979869326367816,83.56808862506057,36.697561235866566,169.98591552694197,1.1568202799824983,7.1935674233491556
B001,34.285714285714285,1.9971859055886703,5.291076593050268,1.1093353320933164,7.026044141020186,80.65517579643358,36.77474318486068,173.67025117862877,1.2202214852998414,6.5488934956302165
